"ID","Condition","Age","Gender","Time","Beep_Time","Button_Estimate_","Written_Estimate_","Phase","satisfaction","enjoyment","stress","difficulty","focus","perceived_speed_of_time","tired","attention_timer","lego_exp","knows_sixbricks","perceived_time","action","models_done","models_correct"
1,1,25,"male","1",5,4.94354190000013,6,"baseline",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","2",3,3.49536969999826,4,"baseline",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","3",9,9.12572069999806,13,"baseline",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","4",4,3.54434780000156,5,"baseline",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","5",2,2.27997440000036,4,"baseline",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","6",7,5.32737310000084,9,"baseline",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","7",3,3.57992659999945,4,"effect",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","8",6,5.42925839999953,7,"effect",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","9",5,5.26117440000235,7,"effect",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","10",2,2.07824740000069,3,"baseline",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","11",9,8.27988510000068,10,"baseline",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
1,1,25,"male","12",4,3.89610849999735,5,"baseline",7,5,2,1,6,4,5,5,NA,"no","5 min","counting in your mind",20,20
10,1,23,"male","1",5,4.8486808000016,6,"baseline",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","2",3,2.61590140000044,4,"baseline",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","3",9,10.1451112000068,10,"baseline",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","4",4,3.54755279999517,4,"baseline",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","5",2,1.46654439999838,2,"baseline",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","6",7,6.76292579999426,6,"baseline",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","7",3,3.26237729999411,4,"effect",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","8",6,4.84810260000813,6,"effect",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","9",5,5.68183149999822,5,"effect",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","10",2,1.03126530000009,2,"baseline",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","11",9,8.34565640000801,8,"baseline",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
10,1,23,"male","12",4,2.93117159999383,3,"baseline",5,7,5,4,7,6,2,2,5,"no","5","counting in your mind",16,14
11,2,22,"male","1",5,6.68029060000845,7,"baseline",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","2",3,2.63126969999576,3,"baseline",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","3",9,7.06372579999152,8,"baseline",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","4",4,4.64744779998728,5,"baseline",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","5",2,1.88092589999724,2,"baseline",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","6",7,7.29684709999128,7,"baseline",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","7",3,2.68215349999082,3,"effect",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","8",6,5.13163080000959,6,"effect",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","9",5,4.69773279999208,5,"effect",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","10",2,1.76541759999236,2,"baseline",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","11",9,7.89673560000665,9,"baseline",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
11,2,22,"male","12",4,2.93144709999615,4,"baseline",5,7,4,4,6,4,2,2,5,"no","5 minutes","counting in your mind, reimagining the sound in your head, tapping along",18,15
12,3,23,"female","1",5,4.66374699999869,7,"baseline",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","2",3,2.34877759999654,4,"baseline",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","3",9,6.79784240000299,10,"baseline",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","4",4,3.06501970000681,5,"baseline",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","5",2,1.14752940001199,3,"baseline",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","6",7,5.51392469998973,8,"baseline",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","7",3,3.34895849999157,5,"effect",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","8",6,5.18097529999795,8,"effect",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","9",5,3.9820769999933,6,"effect",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","10",2,1.44910030000028,3,"baseline",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","11",9,7.11413409998931,10,"baseline",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
12,3,23,"female","12",4,3.21425570000429,4,"baseline",5,6,4,3,6,5,2,1,3,"no","5","counting in your mind",10,10
2,2,23,"male","1",5,3.96521389999543,5,"baseline",2,6,5,4,3,4,3,3,1,"no","I think like 5 min.","reimagining the sound in your head",6,5
2,2,23,"male","2",3,2.59551090000605,4,"baseline",2,6,5,4,3,4,3,3,1,"no","I think like 5 min.","reimagining the sound in your head",6,5
2,2,23,"male","3",9,9.44451469999331,9,"baseline",2,6,5,4,3,4,3,3,1,"no","I think like 5 min.","reimagining the sound in your head",6,5
2,2,23,"male","4",4,3.09640209999634,5,"baseline",2,6,5,4,3,4,3,3,1,"no","I think like 5 min.","reimagining the sound in your head",6,5
2,2,23,"male","5",2,1.74905040000158,4,"baseline",2,6,5,4,3,4,3,3,1,"no","I think like 5 min.","reimagining the sound in your head",6,5
2,2,23,"male","6",7,7.56372550000378,7,"baseline",2,6,5,4,3,4,3,3,1,"no","I think like 5 min.","reimagining the sound in your head",6,5
