"ID","Condition","Age","Gender","Time","Beep_Time","Button_Estimate_","Written_Estimate_","Phase"
1,1,25,"male",1,5,4.94354190000013,6,"baseline"
1,1,25,"male",2,3,3.49536969999826,4,"baseline"
1,1,25,"male",3,9,9.12572069999806,13,"baseline"
1,1,25,"male",4,4,3.54434780000156,5,"baseline"
1,1,25,"male",5,2,2.27997440000036,4,"baseline"
1,1,25,"male",6,7,5.32737310000084,9,"baseline"
1,1,25,"male",7,3,3.57992659999945,4,"effect"
1,1,25,"male",8,6,5.42925839999953,7,"effect"
1,1,25,"male",9,5,5.26117440000235,7,"effect"
1,1,25,"male",10,2,2.07824740000069,3,"effect"
1,1,25,"male",11,9,8.27988510000068,10,"effect"
1,1,25,"male",12,4,3.89610849999735,5,"effect"
10,1,23,"male",1,5,4.8486808000016,6,"baseline"
10,1,23,"male",2,3,2.61590140000044,4,"baseline"
10,1,23,"male",3,9,10.1451112000068,10,"baseline"
10,1,23,"male",4,4,3.54755279999517,4,"baseline"
10,1,23,"male",5,2,1.46654439999838,2,"baseline"
10,1,23,"male",6,7,6.76292579999426,6,"baseline"
10,1,23,"male",7,3,3.26237729999411,4,"effect"
10,1,23,"male",8,6,4.84810260000813,6,"effect"
10,1,23,"male",9,5,5.68183149999822,5,"effect"
10,1,23,"male",10,2,1.03126530000009,2,"effect"
10,1,23,"male",11,9,8.34565640000801,8,"effect"
10,1,23,"male",12,4,2.93117159999383,3,"effect"
11,2,22,"male",1,5,6.68029060000845,7,"baseline"
11,2,22,"male",2,3,2.63126969999576,3,"baseline"
11,2,22,"male",3,9,7.06372579999152,8,"baseline"
11,2,22,"male",4,4,4.64744779998728,5,"baseline"
11,2,22,"male",5,2,1.88092589999724,2,"baseline"
11,2,22,"male",6,7,7.29684709999128,7,"baseline"
11,2,22,"male",7,3,2.68215349999082,3,"effect"
11,2,22,"male",8,6,5.13163080000959,6,"effect"
11,2,22,"male",9,5,4.69773279999208,5,"effect"
11,2,22,"male",10,2,1.76541759999236,2,"effect"
11,2,22,"male",11,9,7.89673560000665,9,"effect"
11,2,22,"male",12,4,2.93144709999615,4,"effect"
12,3,23,"female",1,5,4.66374699999869,7,"baseline"
12,3,23,"female",2,3,2.34877759999654,4,"baseline"
12,3,23,"female",3,9,6.79784240000299,10,"baseline"
12,3,23,"female",4,4,3.06501970000681,5,"baseline"
12,3,23,"female",5,2,1.14752940001199,3,"baseline"
12,3,23,"female",6,7,5.51392469998973,8,"baseline"
12,3,23,"female",7,3,3.34895849999157,5,"effect"
12,3,23,"female",8,6,5.18097529999795,8,"effect"
12,3,23,"female",9,5,3.9820769999933,6,"effect"
12,3,23,"female",10,2,1.44910030000028,3,"effect"
12,3,23,"female",11,9,7.11413409998931,10,"effect"
12,3,23,"female",12,4,3.21425570000429,4,"effect"
13,1,23,"female",1,5,5.07992709999962,6,"baseline"
13,1,23,"female",2,3,2.46394059999875,4,"baseline"
13,1,23,"female",3,9,7.7777231,11,"baseline"
13,1,23,"female",4,4,3.41223080000054,5,"baseline"
13,1,23,"female",5,2,1.69823390000238,3,"baseline"
13,1,23,"female",6,7,5.86509849999857,9,"baseline"
